sample_id,source_row_id,image_file,skin_tone,undertone,pigmentasi_bibir,catatan,confidence,quality_flag,label_status,is_synthetic,source_url
11,33,images/sample_011_row_033.jpg,medium,warm,medium,Warna bibir brown-muted dengan kontras sedang; bibir atas sedikit lebih gelap.,high,usable,vision_pseudo_label,True,https://huggingface.co/datasets/lihicarmeli/fashion-stylist-multimodal
12,42,images/sample_012_row_042.jpg,medium,warm,medium,Warna bibir sedang dan cukup merata; pose tersenyum mengurangi area bibir yang terlihat.,medium,usable,vision_pseudo_label,True,https://huggingface.co/datasets/lihicarmeli/fashion-stylist-multimodal
13,48,images/sample_013_row_048.jpg,medium,neutral,uncertain,Wajah terlalu kecil untuk menilai pigmentasi bibir dengan cukup andal.,low,small_face,vision_pseudo_label,True,https://huggingface.co/datasets/lihicarmeli/fashion-stylist-multimodal
14,58,images/sample_014_row_058.jpg,medium,cool,medium_high,Warna bibir dark brown dengan kontras bibir-kulit yang jelas.,high,usable,vision_pseudo_label,True,https://huggingface.co/datasets/lihicarmeli/fashion-stylist-multimodal
15,60,images/sample_015_row_060.jpg,medium,neutral,medium,"Warna bibir tampak sedang, tetapi wajah relatif kecil sehingga detail terbatas.",medium,small_face,vision_pseudo_label,True,https://huggingface.co/datasets/lihicarmeli/fashion-stylist-multimodal
16,22,images/sample_016_row_022.jpg,tan,warm,medium,Warna bibir muted brown-pink dengan kontras sedang terhadap kulit.,high,usable,vision_pseudo_label,True,https://huggingface.co/datasets/lihicarmeli/fashion-stylist-multimodal
17,40,images/sample_017_row_040.jpg,tan,cool,medium,Warna bibir nude-pink cukup merata; kemungkinan ada warna kosmetik.,high,usable,vision_pseudo_label,True,https://huggingface.co/datasets/lihicarmeli/fashion-stylist-multimodal
18,61,images/sample_018_row_061.jpg,tan,cool,medium,Warna bibir nude-pink; bibir atas tampak sedikit lebih gelap.,high,usable,vision_pseudo_label,True,https://huggingface.co/datasets/lihicarmeli/fashion-stylist-multimodal
19,70,images/sample_019_row_070.jpg,tan,warm,medium_high,Warna bibir dark mauve-brown dengan kontras yang jelas.,high,usable,vision_pseudo_label,True,https://huggingface.co/datasets/lihicarmeli/fashion-stylist-multimodal
20,74,images/sample_020_row_074.jpg,tan,neutral,uncertain,Wajah terlalu kecil untuk menilai area bibir secara andal.,low,small_face,vision_pseudo_label,True,https://huggingface.co/datasets/lihicarmeli/fashion-stylist-multimodal
21,6,images/sample_021_row_006.jpg,dark,cool,high,Warna bibir dark plum-brown dan sangat jelas; kemungkinan ada warna kosmetik/stylized.,high,usable,vision_pseudo_label,True,https://huggingface.co/datasets/lihicarmeli/fashion-stylist-multimodal
22,10,images/sample_022_row_010.jpg,dark,warm,high,Warna bibir sangat gelap dengan kontras kuat terhadap area sekitar bibir.,high,usable,vision_pseudo_label,True,https://huggingface.co/datasets/lihicarmeli/fashion-stylist-multimodal
23,12,images/sample_023_row_012.jpg,dark,neutral,medium,Warna bibir tampak medium-dark; pose tersenyum membuat area bibir yang terlihat lebih sedikit.,medium,usable,vision_pseudo_label,True,https://huggingface.co/datasets/lihicarmeli/fashion-stylist-multimodal
24,64,images/sample_024_row_064.jpg,dark,cool,uncertain,Area bibir tidak tertangkap dengan cukup jelas pada hasil gambar; detail tidak memadai.,low,image_artifact,vision_pseudo_label,True,https://huggingface.co/datasets/lihicarmeli/fashion-stylist-multimodal
25,65,images/sample_025_row_065.jpg,dark,warm,uncertain,Wajah terlalu kecil untuk menilai pigmentasi bibir dengan cukup andal.,low,small_face,vision_pseudo_label,True,https://huggingface.co/datasets/lihicarmeli/fashion-stylist-multimodal
26,5,images/sample_026_row_005.jpg,deep,neutral,medium,Warna bibir medium-dark dan relatif merata.,high,usable,vision_pseudo_label,True,https://huggingface.co/datasets/lihicarmeli/fashion-stylist-multimodal
27,17,images/sample_027_row_017.jpg,deep,cool,high,Kontur bibir sangat tegas dengan outline gelap dan bagian tengah pink; kemungkinan kosmetik/stylized.,high,stylized,vision_pseudo_label,True,https://huggingface.co/datasets/lihicarmeli/fashion-stylist-multimodal
28,25,images/sample_028_row_025.jpg,deep,warm,medium_high,Warna bibir medium-dark dengan kontras jelas; pose agak menyamping.,medium,usable,vision_pseudo_label,True,https://huggingface.co/datasets/lihicarmeli/fashion-stylist-multimodal
29,30,images/sample_029_row_030.jpg,deep,warm,low,Warna bibir sangat nude/terang relatif terhadap kulit; kemungkinan warna kosmetik/stylized.,high,stylized,vision_pseudo_label,True,https://huggingface.co/datasets/lihicarmeli/fashion-stylist-multimodal
30,59,images/sample_030_row_059.jpg,deep,neutral,medium,Warna bibir medium-dark; pose tersenyum mengurangi area bibir yang terlihat.,medium,usable,vision_pseudo_label,True,https://huggingface.co/datasets/lihicarmeli/fashion-stylist-multimodal
