existing_shade,color_family,existing_attributes,desired_attributes,gap_type,gap_description,opportunity_shade
Shade 2 - Cherry Red (Ronaa.),Pink,Velvet Finish | Cool Undertone | Soft Intensity | Oil (49.9%) | L* (59.1),Lip Tint Finish | Olive Undertone | High Coverage (Pigment 10.0%) | Wax (8.1%) | Target L* (36.5),Undertone Ashy & Finish Shift,Warna Cherry Red terlihat terlalu cool dan berkesan ashy saat diaplikasikan pada konsumen ber-undertone Olive.,OPP-SHD-001 (01.0 Cherry Red Rich - Lip Tint)
Shade 27 - Latte (Nuea),Coral,Balm Finish | Warm Undertone | Deep Intensity | Oil (67.9%) | L* (65.5),Balm Finish | Warm Undertone | High Coverage (Pigment 7.1%) | Wax (9.7%) | Target L* (44.6),Finish & Longevity Preference,Tekstur balm mudah luntur saat digunakan makan/minum; konsumen menginginkan opsi balm yang lebih awet.,OPP-SHD-012 (02.5 Latte Velvet - Balm)
Shade 5 - Latte (Nuea),Red,Balm Finish | Warm Undertone | Soft Intensity | Oil (67.8%) | L* (43.3),Balm Finish | Cool Undertone | High Coverage (Pigment 12.9%) | Wax (9.4%) | Target L* (55.3),Skin Tone Inclusion,"Opsi warna terlalu terang (L* 43.3), dibutuhkan opsi shade yang lebih ramah untuk kulit medium-deep.",OPP-SHD-013 (01.0 Latte Intense - Balm)
Shade 25 - Chestnut (Nuea),Nude,Balm Finish | Olive Undertone | Medium Intensity | Oil (59.8%) | L* (59.5),Lip Tint Finish | Olive Undertone | High Coverage (Pigment 6.5%) | Wax (8.1%) | Target L* (44.5),Skin Tone Inclusion,"Opsi warna terlalu terang (L* 59.5), dibutuhkan opsi shade yang lebih ramah untuk kulit medium-deep.",OPP-SHD-014 (06.5 Chestnut Rich - Lip Tint)
Shade 4 - Peach (Barevis),Berry,Satin Finish | Olive Undertone | Deep Intensity | Oil (77.2%) | L* (57.8),Satin Finish | Cool Undertone | High Coverage (Pigment 7.9%) | Wax (10.4%) | Target L* (64.8),Pigmentation Gap,Pigmentasi 2.3% kurang pekat untuk menutup garis bibir gelap / hiperpigmentasi.,OPP-SHD-015 (01.0 Peach Rich - Satin)
Shade 39 - Peach (Barevis),Plum,Satin Finish | Warm Undertone | Medium Intensity | Oil (68.0%) | L* (49.1),Balm Finish | Neutral Undertone | High Coverage (Pigment 11.2%) | Wax (7.7%) | Target L* (48.3),Finish & Longevity Preference,Tekstur satin mudah luntur saat digunakan makan/minum; konsumen menginginkan opsi balm yang lebih awet.,OPP-SHD-016 (04.5 Peach Velvet - Balm)
Shade 30 - Dusty Rose (Barevis),Nude,Satin Finish | Warm Undertone | Soft Intensity | Oil (63.8%) | L* (52.2),Glasting Finish | Cool Undertone | High Coverage (Pigment 10.3%) | Wax (9.2%) | Target L* (49.2),Shade Depth Mismatch,Tingkat kegelapan shade belum presisi; warna terlihat terlalu mengambang pada konsumen target.,OPP-SHD-017 (03.0 Dusty Rose Rich - Glasting)
Shade 1 - Soft Mauve (Ronaa.),Peach,Balm Finish | Neutral Undertone | Deep Intensity | Oil (48.6%) | L* (71.1),Lip Tint Finish | Cool Undertone | High Coverage (Pigment 8.7%) | Wax (8.1%) | Target L* (49.1),Formula Texture & Moisture Gap,Formula terasa terlalu kering dan memperjelas tekstur garis bibir karena kadar wax/mattifier tinggi.,OPP-SHD-018 (06.5 Soft Mauve Velvet - Lip Tint)
Shade 17 - Crimson (Ronaa.),Mauve,Balm Finish | Warm Undertone | Soft Intensity | Oil (67.2%) | L* (51.7),Matte Finish | Neutral Undertone | High Coverage (Pigment 9.4%) | Wax (9.8%) | Target L* (72.1),Skin Tone Inclusion,"Opsi warna terlalu terang (L* 51.7), dibutuhkan opsi shade yang lebih ramah untuk kulit medium-deep.",OPP-SHD-019 (01.0 Crimson Plus - Matte)
Shade 35 - Peach (Barevis),Orange,Balm Finish | Neutral Undertone | Deep Intensity | Oil (64.3%) | L* (52.8),Balm Finish | Warm Undertone | High Coverage (Pigment 6.8%) | Wax (8.2%) | Target L* (45.5),Shade Depth Mismatch,Tingkat kegelapan shade belum presisi; warna terlihat terlalu mengambang pada konsumen target.,OPP-SHD-020 (05.0 Peach Satin - Balm)
Shade 16 - Sienna (Ronaa.),Orange,Matte Finish | Cool Undertone | Medium Intensity | Oil (45.9%) | L* (72.6),Matte Finish | Cool Undertone | High Coverage (Pigment 9.1%) | Wax (10.5%) | Target L* (43.0),Formula Texture & Moisture Gap,Formula terasa terlalu kering dan memperjelas tekstur garis bibir karena kadar wax/mattifier tinggi.,OPP-SHD-021 (01.0 Sienna Satin - Matte)
Shade 30 - Cappucino (Barevis),Red,Velvet Finish | Cool Undertone | Soft Intensity | Oil (45.8%) | L* (70.3),Velvet Finish | Neutral Undertone | High Coverage (Pigment 13.8%) | Wax (9.0%) | Target L* (67.1),Shade Depth Mismatch,Tingkat kegelapan shade belum presisi; warna terlihat terlalu mengambang pada konsumen target.,OPP-SHD-022 (05.0 Cappucino Velvet - Velvet)
Shade 17 - Nude Peach (Barevis),Pink,Satin Finish | Neutral Undertone | Soft Intensity | Oil (48.8%) | L* (51.0),Lip Tint Finish | Warm Undertone | High Coverage (Pigment 6.4%) | Wax (8.0%) | Target L* (80.0),Undertone & Brightness Precision,Oksidasi menyebabkan warna bergeser menjadi lebih gelap/kuning setelah beberapa jam pemakaian.,OPP-SHD-023 (04.5 Nude Peach Plus - Lip Tint)
Shade 44 - Cherry Red (Ronaa.),Peach,Lip Tint Finish | Cool Undertone | Medium Intensity | Oil (60.1%) | L* (61.8),Balm Finish | Warm Undertone | High Coverage (Pigment 8.6%) | Wax (10.3%) | Target L* (60.4),Formula Texture & Moisture Gap,Formula terasa terlalu kering dan memperjelas tekstur garis bibir karena kadar wax/mattifier tinggi.,OPP-SHD-024 (06.5 Cherry Red Velvet - Balm)
Shade 13 - Espresso (Ronaa.),Orange,Lip Tint Finish | Olive Undertone | Deep Intensity | Oil (71.2%) | L* (54.2),Lip Tint Finish | Warm Undertone | High Coverage (Pigment 10.6%) | Wax (9.1%) | Target L* (49.3),Formula Texture & Moisture Gap,Formula terasa terlalu kering dan memperjelas tekstur garis bibir karena kadar wax/mattifier tinggi.,OPP-SHD-025 (06.5 Espresso Velvet - Lip Tint)
Shade 29 - Soft Mauve (Nuea),Mauve,Matte Finish | Olive Undertone | Deep Intensity | Oil (50.9%) | L* (62.2),Glossy Finish | Warm Undertone | High Coverage (Pigment 7.6%) | Wax (8.1%) | Target L* (68.6),Finish & Longevity Preference,Tekstur matte mudah luntur saat digunakan makan/minum; konsumen menginginkan opsi glossy yang lebih awet.,OPP-SHD-026 (01.0 Soft Mauve Plus - Glossy)
Shade 40 - Sienna (Barevis),Mauve,Balm Finish | Warm Undertone | Medium Intensity | Oil (59.5%) | L* (64.4),Glossy Finish | Olive Undertone | High Coverage (Pigment 13.1%) | Wax (10.4%) | Target L* (42.4),Finish & Longevity Preference,Tekstur balm mudah luntur saat digunakan makan/minum; konsumen menginginkan opsi glossy yang lebih awet.,OPP-SHD-027 (01.0 Sienna Satin - Glossy)
Shade 45 - Plum Kiss (Barevis),Orange,Glossy Finish | Warm Undertone | Deep Intensity | Oil (53.7%) | L* (68.0),Balm Finish | Neutral Undertone | High Coverage (Pigment 10.0%) | Wax (10.6%) | Target L* (65.6),Coverage & Texture Balance,"Formula terasa berat di bibir, dibutuhkan penyesuaian rasio wax dan emollient oil agar lebih ringan.",OPP-SHD-028 (05.0 Plum Kiss Satin - Balm)
Shade 29 - Chestnut (Barevis),Mauve,Balm Finish | Cool Undertone | Deep Intensity | Oil (54.7%) | L* (48.4),Glossy Finish | Warm Undertone | High Coverage (Pigment 13.1%) | Wax (8.7%) | Target L* (46.7),Formula Texture & Moisture Gap,Formula terasa terlalu kering dan memperjelas tekstur garis bibir karena kadar wax/mattifier tinggi.,OPP-SHD-029 (01.0 Chestnut Intense - Glossy)
Shade 25 - Bare Nude (Barevis),Red,Matte Finish | Cool Undertone | Soft Intensity | Oil (59.5%) | L* (42.2),Matte Finish | Olive Undertone | High Coverage (Pigment 11.6%) | Wax (9.9%) | Target L* (80.2),Undertone & Brightness Precision,Oksidasi menyebabkan warna bergeser menjadi lebih gelap/kuning setelah beberapa jam pemakaian.,OPP-SHD-030 (05.0 Bare Nude Satin - Matte)
Shade 23 - Coral (Nuea),Nude,Balm Finish | Olive Undertone | Medium Intensity | Oil (63.8%) | L* (71.4),Glossy Finish | Cool Undertone | High Coverage (Pigment 8.7%) | Wax (7.1%) | Target L* (56.8),Formula Texture & Moisture Gap,Formula terasa terlalu kering dan memperjelas tekstur garis bibir karena kadar wax/mattifier tinggi.,OPP-SHD-031 (06.5 Coral Satin - Glossy)
Shade 30 - Blush (Ronaa.),Orange,Matte Finish | Warm Undertone | Medium Intensity | Oil (65.7%) | L* (55.0),Matte Finish | Olive Undertone | High Coverage (Pigment 7.7%) | Wax (8.9%) | Target L* (37.5),Skin Tone Inclusion,"Opsi warna terlalu terang (L* 55.0), dibutuhkan opsi shade yang lebih ramah untuk kulit medium-deep.",OPP-SHD-032 (03.0 Blush Velvet - Matte)
Shade 49 - Toffee (Nuea),Brown,Glossy Finish | Neutral Undertone | Soft Intensity | Oil (61.5%) | L* (73.3),Matte Finish | Warm Undertone | High Coverage (Pigment 7.6%) | Wax (11.7%) | Target L* (72.7),Undertone Ashy & Finish Shift,Warna Toffee terlihat terlalu neutral dan berkesan ashy saat diaplikasikan pada konsumen ber-undertone Warm.,OPP-SHD-033 (01.0 Toffee Rich - Matte)
Shade 9 - Light Pink (Barevis),Red,Lip Tint Finish | Warm Undertone | Deep Intensity | Oil (78.2%) | L* (52.9),Satin Finish | Warm Undertone | High Coverage (Pigment 6.2%) | Wax (7.5%) | Target L* (83.2),Skin Tone Inclusion,"Opsi warna terlalu terang (L* 52.9), dibutuhkan opsi shade yang lebih ramah untuk kulit medium-deep.",OPP-SHD-034 (03.0 Light Pink Rich - Satin)
Shade 26 - Bare Nude (Ronaa.),Coral,Matte Finish | Warm Undertone | Deep Intensity | Oil (69.2%) | L* (67.0),Matte Finish | Warm Undertone | High Coverage (Pigment 9.4%) | Wax (8.7%) | Target L* (74.1),Shade Extension for Deep Warm Skin,Kurangnya pilihan shade warm dengan saturasi warna kaya untuk pemilik kulit sawo matang.,OPP-SHD-035 (03.0 Bare Nude Plus - Matte)
Shade 1 - Sienna (Ronaa.),Berry,Glossy Finish | Olive Undertone | Soft Intensity | Oil (60.2%) | L* (56.1),Matte Finish | Olive Undertone | High Coverage (Pigment 8.2%) | Wax (11.8%) | Target L* (71.7),Skin Tone Inclusion,"Opsi warna terlalu terang (L* 56.1), dibutuhkan opsi shade yang lebih ramah untuk kulit medium-deep.",OPP-SHD-036 (05.0 Sienna Satin - Matte)
Shade 47 - Orange Blaze (Nuea),Coral,Velvet Finish | Neutral Undertone | Soft Intensity | Oil (74.1%) | L* (48.5),Satin Finish | Olive Undertone | High Coverage (Pigment 7.5%) | Wax (11.3%) | Target L* (36.4),Shade Depth Mismatch,Tingkat kegelapan shade belum presisi; warna terlihat terlalu mengambang pada konsumen target.,OPP-SHD-037 (02.5 Orange Blaze Velvet - Satin)
Shade 18 - Crimson (Nuea),Berry,Satin Finish | Neutral Undertone | Deep Intensity | Oil (45.4%) | L* (65.2),Glossy Finish | Cool Undertone | High Coverage (Pigment 12.3%) | Wax (9.5%) | Target L* (67.3),Coverage & Texture Balance,"Formula terasa berat di bibir, dibutuhkan penyesuaian rasio wax dan emollient oil agar lebih ringan.",OPP-SHD-038 (01.0 Crimson Velvet - Glossy)
Shade 45 - Mocca (Barevis),Coral,Velvet Finish | Neutral Undertone | Medium Intensity | Oil (64.4%) | L* (59.3),Glossy Finish | Olive Undertone | High Coverage (Pigment 11.8%) | Wax (8.2%) | Target L* (50.3),Formula Texture & Moisture Gap,Formula terasa terlalu kering dan memperjelas tekstur garis bibir karena kadar wax/mattifier tinggi.,OPP-SHD-039 (03.0 Mocca Plus - Glossy)
Shade 49 - Bare Nude (Ronaa.),Peach,Matte Finish | Cool Undertone | Soft Intensity | Oil (70.9%) | L* (66.6),Lip Tint Finish | Neutral Undertone | High Coverage (Pigment 8.9%) | Wax (8.5%) | Target L* (76.6),Pigmentation Gap,Pigmentasi 5.5% kurang pekat untuk menutup garis bibir gelap / hiperpigmentasi.,OPP-SHD-040 (03.0 Bare Nude Plus - Lip Tint)
Shade 9 - Chestnut (Ronaa.),Peach,Glasting Finish | Warm Undertone | Deep Intensity | Oil (55.2%) | L* (66.3),Matte Finish | Warm Undertone | High Coverage (Pigment 8.7%) | Wax (9.4%) | Target L* (49.2),Shade Extension for Deep Warm Skin,Kurangnya pilihan shade warm dengan saturasi warna kaya untuk pemilik kulit sawo matang.,OPP-SHD-041 (01.0 Chestnut Velvet - Matte)
Shade 5 - Chai (Nuea),Pink,Glossy Finish | Warm Undertone | Deep Intensity | Oil (67.0%) | L* (59.7),Velvet Finish | Warm Undertone | High Coverage (Pigment 10.9%) | Wax (10.8%) | Target L* (40.9),Finish & Longevity Preference,Tekstur glossy mudah luntur saat digunakan makan/minum; konsumen menginginkan opsi velvet yang lebih awet.,OPP-SHD-042 (05.0 Chai Intense - Velvet)
Shade 29 - Blush (Ronaa.),Coral,Glossy Finish | Neutral Undertone | Deep Intensity | Oil (79.7%) | L* (61.3),Balm Finish | Warm Undertone | High Coverage (Pigment 6.6%) | Wax (8.3%) | Target L* (66.3),Finish & Longevity Preference,Tekstur glossy mudah luntur saat digunakan makan/minum; konsumen menginginkan opsi balm yang lebih awet.,OPP-SHD-043 (02.5 Blush Intense - Balm)
Shade 11 - Caramel (Ronaa.),Pink,Glossy Finish | Olive Undertone | Deep Intensity | Oil (65.8%) | L* (64.7),Balm Finish | Olive Undertone | High Coverage (Pigment 12.3%) | Wax (11.6%) | Target L* (69.4),Pigmentation Gap,Pigmentasi 3.4% kurang pekat untuk menutup garis bibir gelap / hiperpigmentasi.,OPP-SHD-044 (06.5 Caramel Rich - Balm)
Shade 28 - Berry (Ronaa.),Red,Satin Finish | Cool Undertone | Deep Intensity | Oil (50.2%) | L* (42.1),Satin Finish | Neutral Undertone | High Coverage (Pigment 8.3%) | Wax (9.8%) | Target L* (72.4),Shade Extension for Deep Warm Skin,Kurangnya pilihan shade warm dengan saturasi warna kaya untuk pemilik kulit sawo matang.,OPP-SHD-045 (01.0 Berry Satin - Satin)
Shade 45 - Chai (Ronaa.),Brown,Velvet Finish | Olive Undertone | Medium Intensity | Oil (47.8%) | L* (51.3),Glossy Finish | Warm Undertone | High Coverage (Pigment 12.9%) | Wax (10.4%) | Target L* (46.4),Pigmentation Gap,Pigmentasi 4.6% kurang pekat untuk menutup garis bibir gelap / hiperpigmentasi.,OPP-SHD-046 (05.0 Chai Plus - Glossy)
Shade 37 - Peach (Ronaa.),Brown,Balm Finish | Cool Undertone | Medium Intensity | Oil (63.2%) | L* (74.9),Glossy Finish | Olive Undertone | High Coverage (Pigment 8.6%) | Wax (9.0%) | Target L* (58.5),Pigmentation Gap,Pigmentasi 3.7% kurang pekat untuk menutup garis bibir gelap / hiperpigmentasi.,OPP-SHD-047 (01.0 Peach Intense - Glossy)
Shade 45 - Light Pink (Nuea),Coral,Velvet Finish | Olive Undertone | Deep Intensity | Oil (46.3%) | L* (44.1),Velvet Finish | Olive Undertone | High Coverage (Pigment 13.0%) | Wax (7.0%) | Target L* (76.2),Lip Color Correction Need,Konsumen butuh shade netral pemoreksi (corrector/primer) sebelum menggunakan warna nude utama.,OPP-SHD-048 (04.5 Light Pink Satin - Velvet)
Shade 34 - Cappucino (Barevis),Red,Satin Finish | Olive Undertone | Deep Intensity | Oil (60.5%) | L* (44.6),Velvet Finish | Olive Undertone | High Coverage (Pigment 10.9%) | Wax (11.9%) | Target L* (41.1),Coverage & Texture Balance,"Formula terasa berat di bibir, dibutuhkan penyesuaian rasio wax dan emollient oil agar lebih ringan.",OPP-SHD-049 (02.5 Cappucino Intense - Velvet)
Shade 1 - Brick Red (Nuea),Peach,Glossy Finish | Warm Undertone | Soft Intensity | Oil (79.7%) | L* (44.1),Glossy Finish | Cool Undertone | High Coverage (Pigment 11.6%) | Wax (8.5%) | Target L* (81.6),Coverage & Texture Balance,"Formula terasa berat di bibir, dibutuhkan penyesuaian rasio wax dan emollient oil agar lebih ringan.",OPP-SHD-050 (04.5 Brick Red Satin - Glossy)
Shade 30 - Brick Red (Nuea),Red,Matte Finish | Olive Undertone | Soft Intensity | Oil (77.3%) | L* (70.2),Glossy Finish | Olive Undertone | High Coverage (Pigment 12.6%) | Wax (9.5%) | Target L* (81.7),Shade Depth Mismatch,Tingkat kegelapan shade belum presisi; warna terlihat terlalu mengambang pada konsumen target.,OPP-SHD-051 (03.0 Brick Red Velvet - Glossy)
Shade 43 - Light Pink (Ronaa.),Plum,Balm Finish | Cool Undertone | Medium Intensity | Oil (63.9%) | L* (59.0),Glossy Finish | Neutral Undertone | High Coverage (Pigment 9.1%) | Wax (8.2%) | Target L* (84.0),Finish & Longevity Preference,Tekstur balm mudah luntur saat digunakan makan/minum; konsumen menginginkan opsi glossy yang lebih awet.,OPP-SHD-052 (04.5 Light Pink Plus - Glossy)
Shade 46 - Blush (Nuea),Mauve,Balm Finish | Olive Undertone | Medium Intensity | Oil (79.6%) | L* (45.3),Glasting Finish | Cool Undertone | High Coverage (Pigment 6.8%) | Wax (8.7%) | Target L* (83.3),Lip Color Correction Need,Konsumen butuh shade netral pemoreksi (corrector/primer) sebelum menggunakan warna nude utama.,OPP-SHD-053 (04.5 Blush Plus - Glasting)
Shade 1 - Cherry Red (Ronaa.),Mauve,Matte Finish | Olive Undertone | Deep Intensity | Oil (78.9%) | L* (49.3),Lip Tint Finish | Olive Undertone | High Coverage (Pigment 12.9%) | Wax (11.3%) | Target L* (77.6),Pigmentation Gap,Pigmentasi 6.7% kurang pekat untuk menutup garis bibir gelap / hiperpigmentasi.,OPP-SHD-054 (04.5 Cherry Red Velvet - Lip Tint)
Shade 35 - Peach (Ronaa.),Mauve,Satin Finish | Warm Undertone | Soft Intensity | Oil (67.1%) | L* (66.1),Glossy Finish | Warm Undertone | High Coverage (Pigment 13.2%) | Wax (10.5%) | Target L* (57.2),Pigmentation Gap,Pigmentasi 8.0% kurang pekat untuk menutup garis bibir gelap / hiperpigmentasi.,OPP-SHD-055 (01.0 Peach Velvet - Glossy)
Shade 23 - Cappucino (Barevis),Brown,Glossy Finish | Cool Undertone | Soft Intensity | Oil (63.6%) | L* (45.9),Glasting Finish | Olive Undertone | High Coverage (Pigment 10.7%) | Wax (9.5%) | Target L* (69.2),Shade Extension for Deep Warm Skin,Kurangnya pilihan shade warm dengan saturasi warna kaya untuk pemilik kulit sawo matang.,OPP-SHD-056 (02.5 Cappucino Satin - Glasting)
Shade 30 - Chestnut (Ronaa.),Brown,Lip Tint Finish | Warm Undertone | Medium Intensity | Oil (76.5%) | L* (55.5),Velvet Finish | Neutral Undertone | High Coverage (Pigment 8.4%) | Wax (9.3%) | Target L* (69.5),Undertone & Brightness Precision,Oksidasi menyebabkan warna bergeser menjadi lebih gelap/kuning setelah beberapa jam pemakaian.,OPP-SHD-057 (04.5 Chestnut Satin - Velvet)
Shade 25 - Orange Blaze (Barevis),Red,Velvet Finish | Neutral Undertone | Deep Intensity | Oil (55.3%) | L* (49.6),Lip Tint Finish | Warm Undertone | High Coverage (Pigment 13.2%) | Wax (11.2%) | Target L* (72.3),Shade Extension for Deep Warm Skin,Kurangnya pilihan shade warm dengan saturasi warna kaya untuk pemilik kulit sawo matang.,OPP-SHD-058 (02.5 Orange Blaze Rich - Lip Tint)
Shade 41 - Rosewood (Nuea),Red,Satin Finish | Neutral Undertone | Deep Intensity | Oil (71.4%) | L* (44.8),Glasting Finish | Warm Undertone | High Coverage (Pigment 8.9%) | Wax (7.2%) | Target L* (74.4),Formula Texture & Moisture Gap,Formula terasa terlalu kering dan memperjelas tekstur garis bibir karena kadar wax/mattifier tinggi.,OPP-SHD-059 (02.5 Rosewood Plus - Glasting)
Shade 48 - Espresso (Nuea),Berry,Matte Finish | Cool Undertone | Soft Intensity | Oil (72.5%) | L* (57.6),Glossy Finish | Cool Undertone | High Coverage (Pigment 13.7%) | Wax (11.7%) | Target L* (80.7),Formula Texture & Moisture Gap,Formula terasa terlalu kering dan memperjelas tekstur garis bibir karena kadar wax/mattifier tinggi.,OPP-SHD-060 (03.0 Espresso Velvet - Glossy)
Shade 5 - Red (Barevis),Mauve,Balm Finish | Cool Undertone | Deep Intensity | Oil (70.3%) | L* (68.2),Velvet Finish | Warm Undertone | High Coverage (Pigment 9.6%) | Wax (9.7%) | Target L* (35.7),Undertone & Brightness Precision,Oksidasi menyebabkan warna bergeser menjadi lebih gelap/kuning setelah beberapa jam pemakaian.,OPP-SHD-061 (06.5 Red Velvet - Velvet)
Shade 41 - Cappucino (Ronaa.),Coral,Glasting Finish | Cool Undertone | Medium Intensity | Oil (45.9%) | L* (72.0),Velvet Finish | Warm Undertone | High Coverage (Pigment 9.3%) | Wax (8.5%) | Target L* (80.5),Coverage & Texture Balance,"Formula terasa berat di bibir, dibutuhkan penyesuaian rasio wax dan emollient oil agar lebih ringan.",OPP-SHD-062 (02.5 Cappucino Plus - Velvet)
Shade 32 - Berry (Barevis),Brown,Glasting Finish | Cool Undertone | Deep Intensity | Oil (49.7%) | L* (66.0),Lip Tint Finish | Olive Undertone | High Coverage (Pigment 9.3%) | Wax (7.8%) | Target L* (72.1),Shade Extension for Deep Warm Skin,Kurangnya pilihan shade warm dengan saturasi warna kaya untuk pemilik kulit sawo matang.,OPP-SHD-063 (01.0 Berry Satin - Lip Tint)
Shade 18 - Peach (Ronaa.),Coral,Lip Tint Finish | Neutral Undertone | Soft Intensity | Oil (60.5%) | L* (43.5),Balm Finish | Neutral Undertone | High Coverage (Pigment 6.5%) | Wax (10.2%) | Target L* (80.1),Lip Color Correction Need,Konsumen butuh shade netral pemoreksi (corrector/primer) sebelum menggunakan warna nude utama.,OPP-SHD-064 (03.0 Peach Intense - Balm)
Shade 6 - Soft Mauve (Barevis),Mauve,Matte Finish | Warm Undertone | Soft Intensity | Oil (72.5%) | L* (59.8),Glasting Finish | Cool Undertone | High Coverage (Pigment 8.6%) | Wax (11.3%) | Target L* (45.8),Shade Extension for Deep Warm Skin,Kurangnya pilihan shade warm dengan saturasi warna kaya untuk pemilik kulit sawo matang.,OPP-SHD-065 (02.5 Soft Mauve Rich - Glasting)
Shade 10 - Red (Barevis),Brown,Satin Finish | Neutral Undertone | Soft Intensity | Oil (48.8%) | L* (52.5),Satin Finish | Cool Undertone | High Coverage (Pigment 6.4%) | Wax (7.9%) | Target L* (51.2),Shade Extension for Deep Warm Skin,Kurangnya pilihan shade warm dengan saturasi warna kaya untuk pemilik kulit sawo matang.,OPP-SHD-066 (06.5 Red Satin - Satin)
